T(h:m:s),FT(h:m:s),T(Sec),T(ms),UF(Hz),Sats,Date,Time,Lat,Lon,Alt(Ft),Alt(M),GndSpd(M/S),Head(Deg),PDOP,intT(C),intT(F),extT(C),extT(F),msTemp(C),msTemp(F),msPress(PSI),msPress(ATM),msAlt(ft),msAlt(M),VertVel(Ft/S),VertVel(M/S),mag x,mag y,mag z,accel x,accel y,accel z,gyro x,gyro y,gyro z,orien yaw,orien pitch,orien roll,xbee message,Si humidity (%),Si Temperature (C)3.6.15.1
0:00:12,NA:NA:NA,12.7,12693,0.1,0,4/8/2024,12:26:54,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,26.51,79.72,-273.15,-459.67,26.46,79.63,14.31,0.97,755.64,230.32,0.45,0.14,7.00,-9.50,-23.19,-0.71,0.39,9.59,-0.02,0.03,0.00,359.94,-1.94,-4.00,,26.33,30.92
0:00:13,NA:NA:NA,13.7,13715,1.0,0,4/8/2024,12:26:55,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,26.53,79.76,-273.15,-459.67,26.47,79.65,14.31,0.97,756.20,230.49,0.55,0.17,6.25,-8.19,-25.19,-0.67,0.35,9.60,0.00,-0.01,0.00,359.94,-1.81,-4.12,,26.28,30.92
0:00:14,NA:NA:NA,14.7,14739,1.0,0,4/8/2024,12:26:56,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,26.53,79.76,-273.15,-459.67,26.48,79.66,14.31,0.97,761.51,232.11,5.18,1.58,5.88,-8.50,-24.69,-0.66,0.39,9.57,-0.00,-0.00,0.00,359.94,-1.69,-4.00,,26.24,30.94
0:00:15,NA:NA:NA,15.7,15747,1.0,0,4/8/2024,12:26:57,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,26.56,79.80,-273.15,-459.67,26.50,79.70,14.31,0.97,765.71,233.39,4.17,1.27,7.00,-9.25,-24.25,-0.68,0.39,9.58,0.00,-0.00,-0.00,359.94,-1.69,-4.00,,26.20,30.95
0:00:16,NA:NA:NA,16.8,16753,1.0,0,4/8/2024,12:26:58,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,26.56,79.80,-273.15,-459.67,26.51,79.72,14.31,0.97,767.66,233.98,1.94,0.59,5.19,-8.50,-24.25,-0.67,0.34,9.65,-0.00,-0.00,0.00,359.94,-1.69,-4.00,,26.15,30.98
0:00:17,NA:NA:NA,17.8,17759,1.0,0,4/8/2024,12:26:59,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,26.58,79.84,-273.15,-459.67,26.52,79.74,14.31,0.97,768.78,234.32,1.11,0.34,5.56,-8.50,-24.38,-0.68,0.38,9.60,0.00,-0.00,0.00,359.94,-1.69,-4.00,,26.12,30.99
0:00:18,NA:NA:NA,18.8,18765,1.0,0,4/8/2024,12:27:0,72.931068,2.874859,64068.68,19528.13,0.000,0.00,9999,26.60,79.88,-273.15,-459.67,26.53,79.75,14.31,0.97,765.43,233.30,-3.34,-1.02,7.00,-9.25,-24.00,-0.73,0.39,9.65,0.00,0.01,0.00,359.94,-1.69,-4.00,,26.09,30.98
0:00:19,NA:NA:NA,19.8,19770,1.0,0,4/8/2024,12:27:1,74.586151,3.889996,65164.66,19862.19,0.000,0.00,9999,26.58,79.84,-273.15,-459.67,26.56,79.81,14.31,0.97,765.43,233.30,0.00,0.00,6.69,-8.50,-24.38,-0.65,0.36,9.59,0.00,-0.00,-0.00,359.94,-1.81,-4.00,,26.06,30.96
0:00:20,NA:NA:NA,20.8,20776,1.0,0,4/8/2024,12:27:2,77.289734,8.675843,66736.18,20341.19,0.000,0.00,9999,26.62,79.92,-273.15,-459.67,26.58,79.84,14.31,0.97,762.91,232.54,-2.50,-0.76,6.69,-8.88,-25.19,-0.68,0.37,9.58,0.00,0.00,-0.00,359.94,-1.88,-4.00,,26.06,30.98
0:00:21,NA:NA:NA,21.8,21781,1.0,0,4/8/2024,12:27:3,75.615044,3.176753,65795.30,20054.41,0.000,0.00,9999,26.62,79.92,-273.15,-459.67,26.58,79.84,14.31,0.97,763.19,232.62,0.28,0.08,7.00,-8.06,-23.38,-0.74,0.30,9.67,-0.01,0.01,0.00,359.94,-1.88,-4.06,,26.03,30.96
0:00:22,NA:NA:NA,22.8,22787,1.0,0,4/8/2024,12:27:4,79.944656,3.708986,68003.48,20727.46,0.000,0.00,9999,26.60,79.88,-273.15,-459.67,26.61,79.90,14.31,0.97,759.56,231.51,-3.61,-1.10,6.19,-9.00,-24.25,-0.90,-0.11,9.57,-0.03,-0.01,0.00,0.00,-2.00,-4.12,,26.04,30.94
0:00:23,NA:NA:NA,23.8,23792,1.0,0,4/8/2024,12:27:5,77.579300,3.022086,66887.91,20387.43,0.000,0.00,9999,26.65,79.96,-273.15,-459.67,26.62,79.92,14.31,0.97,757.32,230.83,-2.22,-0.68,7.00,-7.88,-24.69,-0.68,0.41,9.55,0.00,-0.00,-0.00,359.94,-1.94,-4.12,,26.03,30.86
0:00:24,NA:NA:NA,24.8,24798,1.0,0,4/8/2024,12:27:6,75.807243,1.779966,65908.71,20088.97,0.000,0.00,9999,26.65,79.96,-273.15,-459.67,26.64,79.95,14.31,0.97,752.57,229.38,-4.72,-1.44,6.19,-9.38,-25.50,-0.62,-0.04,10.19,-0.10,0.02,-0.01,359.94,-2.00,-4.12,,26.02,30.86
0:00:25,NA:NA:NA,25.8,25803,1.0,0,4/8/2024,12:27:7,69.412735,-0.832540,61420.86,18721.08,0.000,0.00,9999,26.67,80.00,-273.15,-459.67,26.64,79.95,14.31,0.97,753.13,229.55,0.56,0.17,7.00,-8.56,-25.50,0.41,0.54,9.17,0.04,-0.02,0.00,0.00,-2.00,-3.62,,26.03,30.90
0:00:26,NA:NA:NA,26.8,26808,1.0,0,4/8/2024,12:27:8,75.949333,0.680495,65991.66,20114.26,0.000,0.00,9999,26.69,80.04,-273.15,-459.67,26.64,79.95,14.31,0.97,757.04,230.75,3.89,1.19,6.06,-9.38,-23.75,-0.75,0.29,9.73,0.02,0.05,-0.01,0.00,-2.31,-4.06,,26.02,30.96
